status,layer,multi_layer,partial_layer,lb,ub,norms,mask_fn,threshold,edit_acc,test_acc
success,-1,False,False,-1.0,1.0,l1n linf,gt,5,1.0,0.9357
success,-1,True,False,-1.0,100.0,l1n linf,gt,0,1.0,0.9357
success,-1,True,False,-1.0,10.0,l1n linf,lt,0,1.0,0.9357
success,-1,False,False,-1.0,1.0,l1n linf,lt,-5,1.0,0.9357
success,-2,True,False,-100.0,10.0,l1n linf,lt,0,1.0,0.9357
success,-1,True,False,-100.0,1.0,l1n linf,lt,0,1.0,0.9357
success,-1,True,True,-1.0,10.0,l1n linf,gt,0,1.0,0.9357
success,-1,False,False,-10.0,100.0,l1n linf,gt,0,1.0,0.9357
success,-1,False,False,-100.0,10.0,l1n linf,gt,5,1.0,0.9357
success,-2,True,False,-1.0,100.0,l1n linf,gt,5,1.0,0.9357
success,3,True,False,-100.0,10.0,l1n linf,gt,0,1.0,0.9331
success,4,True,True,-100.0,10.0,l1n linf,gt,0,1.0,0.9331
success,-1,True,False,-100.0,1.0,l1 l1n,gt,5,1.0,0.9327
success,3,True,False,-1.0,10.0,l1n linf,gt,0,1.0,0.9327
success,4,True,False,-10.0,1.0,l1n linf,lt,-5,1.0,0.9327
success,3,True,False,-1.0,10.0,l1n linf,lt,-5,1.0,0.9327
success,3,True,False,-1.0,10.0,l1n linf,gt,5,1.0,0.9327
success,-1,True,False,-100.0,1.0,l1 l1n,lt,-5,1.0,0.9327
success,4,True,True,-1.0,10.0,l1n linf,lt,-5,1.0,0.9327
success,3,True,True,-100.0,1.0,l1n linf,lt,-5,1.0,0.9326
success,4,True,True,-100.0,1.0,l1n linf,lt,0,1.0,0.9326
success,3,True,False,-100.0,100.0,l1n linf,gt,5,1.0,0.9323
success,4,True,True,-100.0,100.0,l1n linf,gt,5,1.0,0.9323
success,3,True,False,-1.0,1.0,l1n linf,lt,-5,1.0,0.9323
success,1,True,False,-10.0,1.0,l1 l1n,gt,0,1.0,0.9299
success,1,True,True,-10.0,10.0,l1 l1n,lt,-5,1.0,0.9298
success,2,True,True,-100.0,10.0,l1 l1n,gt,5,1.0,0.9298
success,2,True,False,-100.0,10.0,l1 l1n,lt,-5,1.0,0.9298
success,1,True,False,-100.0,100.0,l1 l1n,gt,0,1.0,0.9297
success,1,True,True,-100.0,100.0,l1 l1n,gt,5,1.0,0.9297
success,2,True,False,-100.0,1.0,l1 linf,lt,0,1.0,0.929
success,1,True,True,-10.0,1.0,l1 l1n linf,lt,0,1.0,0.929
success,2,True,False,-10.0,1.0,l1 linf,gt,5,1.0,0.929
success,1,True,False,-10.0,1.0,l1 l1n linf,gt,0,1.0,0.929
success,2,True,False,-10.0,1.0,l1 l1n linf,lt,0,1.0,0.929
success,-2,True,True,-100.0,10.0,l1 linf,gt,5,1.0,0.9272
success,-1,True,True,-1.0,1.0,l1 linf,gt,0,1.0,0.9272
success,-1,False,False,-10.0,10.0,l1 linf,lt,0,1.0,0.9272
success,-2,True,True,-10.0,100.0,l1 linf,gt,0,1.0,0.9272
success,-1,True,True,-10.0,1.0,l1 l1n linf,lt,-5,1.0,0.9272
success,-1,True,True,-10.0,100.0,l1 l1n linf,gt,0,1.0,0.9272
success,-2,True,True,-10.0,10.0,l1 l1n linf,gt,5,1.0,0.9272
success,-2,True,True,-1.0,10.0,l1 l1n linf,lt,0,1.0,0.9272
success,-1,True,True,-100.0,1.0,l1 l1n linf,gt,5,1.0,0.9272
success,-1,True,True,-1.0,10.0,l1 linf,lt,0,1.0,0.9272
success,-1,True,True,-100.0,100.0,l1 l1n linf,lt,-5,1.0,0.9272
success,-2,True,True,-10.0,10.0,l1 linf,lt,0,1.0,0.9272
success,-1,True,False,-100.0,1.0,l1 linf,lt,-5,1.0,0.9272
success,-2,True,False,-10.0,100.0,l1 l1n linf,lt,0,1.0,0.9272
success,-1,True,True,-1.0,1.0,l1 l1n linf,gt,0,1.0,0.9272
success,-2,True,False,-100.0,100.0,l1 l1n linf,lt,0,1.0,0.9272
success,-2,True,True,-1.0,100.0,l1 linf,lt,0,1.0,0.9272
success,-2,True,False,-100.0,100.0,l1 l1n linf,lt,-5,1.0,0.9272
success,-2,True,True,-1.0,10.0,l1 l1n linf,gt,0,1.0,0.9272
success,-2,True,False,-10.0,10.0,l1 linf,gt,5,1.0,0.9272
success,-1,False,False,-10.0,10.0,l1 l1n linf,gt,5,1.0,0.9272
success,-1,False,False,-1.0,100.0,l1 linf,lt,-5,1.0,0.9272
success,-1,True,False,-100.0,100.0,l1 linf,lt,0,1.0,0.9272
success,-1,True,False,-10.0,10.0,l1 linf,lt,-5,1.0,0.9272
success,-2,True,True,-10.0,10.0,l1 l1n linf,lt,0,1.0,0.9272
success,-2,True,True,-10.0,100.0,l1 l1n linf,lt,0,1.0,0.9272
success,-1,True,False,-10.0,10.0,l1 l1n linf,lt,-5,1.0,0.9272
success,-2,True,False,-100.0,10.0,l1 linf,lt,0,1.0,0.9272
success,-1,True,True,-10.0,10.0,l1 linf,lt,0,1.0,0.9272
success,-3,True,True,-100.0,100.0,l1n linf,lt,0,1.0,0.9263
success,-4,True,False,-100.0,100.0,l1n linf,gt,0,1.0,0.9263
success,2,True,True,-100.0,10.0,l1 linf,lt,-5,1.0,0.9262
success,1,True,True,-10.0,10.0,l1 linf,gt,0,1.0,0.9262
success,2,True,False,-10.0,100.0,l1 l1n linf,gt,0,1.0,0.9262
success,1,True,True,-100.0,100.0,l1 linf,gt,5,1.0,0.9262
success,1,True,False,-100.0,100.0,l1 linf,gt,0,1.0,0.9262
success,2,True,True,-100.0,100.0,l1 l1n linf,gt,0,1.0,0.9262
success,1,True,False,-10.0,10.0,l1 l1n linf,lt,-5,1.0,0.9262
success,1,True,True,-10.0,10.0,l1 l1n linf,gt,0,1.0,0.9262
success,1,True,True,-10.0,10.0,l1 l1n linf,lt,-5,1.0,0.9262
success,1,True,False,-100.0,100.0,l1 l1n linf,gt,5,1.0,0.9262
success,2,True,False,-10.0,10.0,l1 linf,lt,-5,1.0,0.9262
success,2,True,True,-10.0,10.0,l1 l1n linf,gt,5,1.0,0.9262
success,1,True,True,-100.0,10.0,l1 linf,gt,5,1.0,0.9262
success,-4,True,True,-1.0,100.0,l1n linf,lt,0,1.0,0.9261
success,-3,True,True,-1.0,1.0,l1n linf,gt,5,1.0,0.9261
success,-3,True,False,-10.0,100.0,l1n linf,lt,0,1.0,0.9261
success,-4,True,False,-1.0,100.0,l1n linf,gt,5,1.0,0.9261
success,-3,True,False,-1.0,100.0,l1n linf,lt,0,1.0,0.9261
success,-3,True,True,-10.0,10.0,l1n linf,gt,5,1.0,0.9261
success,-4,True,False,-1.0,100.0,l1n linf,gt,0,1.0,0.9261
success,-3,True,False,-10.0,100.0,l1n linf,gt,5,1.0,0.9261
success,-4,True,True,-10.0,10.0,l1n linf,lt,0,1.0,0.9261
success,-2,True,True,-1.0,10.0,l1 l1n,gt,5,1.0,0.9247
success,-1,True,True,-1.0,10.0,l1 l1n,lt,-5,1.0,0.9247
success,-1,True,False,-1.0,10.0,l1 l1n,lt,-5,1.0,0.9247
success,-1,False,False,-100.0,100.0,l1 l1n,lt,-5,1.0,0.9247
success,-1,True,False,-1.0,100.0,l1 l1n,gt,0,1.0,0.9247
success,-2,True,True,-100.0,100.0,l1 l1n,gt,0,1.0,0.9247
success,2,True,False,-1.0,10.0,l1 l1n,lt,-5,1.0,0.9239
success,2,True,False,-1.0,10.0,l1 l1n,gt,5,1.0,0.9239
success,1,True,True,-10.0,10.0,l1n linf,gt,0,1.0,0.9231
